,CHARACTERISTIC_NAME,CHARACTERISTIC_ID
0,"Population, 2021",1
1,"Population, 2016",2
2,"Population percentage change, 2016 to 2021",3
3,Total private dwellings,4
4,Private dwellings occupied by usual residents,5
5,Population density per square kilometre,6
6,Land area in square kilometres,7
7,Total - Age groups of the population - 100% data,8
8,  0 to 14 years,9
9,    0 to 4 years,10
10,    5 to 9 years,11
11,    10 to 14 years,12
12,  15 to 64 years,13
13,    15 to 19 years,14
14,    20 to 24 years,15
15,    25 to 29 years,16
16,    30 to 34 years,17
17,    35 to 39 years,18
18,    40 to 44 years,19
19,    45 to 49 years,20
20,    50 to 54 years,21
21,    55 to 59 years,22
22,    60 to 64 years,23
23,  65 years and over,24
24,    65 to 69 years,25
25,    70 to 74 years,26
26,    75 to 79 years,27
27,    80 to 84 years,28
28,    85 years and over,29
29,      85 to 89 years,30
30,      90 to 94 years,31
31,      95 to 99 years,32
32,      100 years and over,33
33,Total - Distribution (%) of the population by broad age groups - 100% data,34
34,Average age of the population,39
35,Median age of the population,40
36,Total - Occupied private dwellings by structural type of dwelling - 100% data,41
37,  Single-detached house,42
38,  Semi-detached house,43
39,  Row house,44
40,  Apartment or flat in a duplex,45
41,  Apartment in a building that has fewer than five storeys,46
42,  Apartment in a building that has five or more storeys,47
43,  Other single-attached house,48
44,  Movable dwelling,49
45,Total - Private households by household size - 100% data,50
46,  1 person,51
47,  2 persons,52
48,  3 persons,53
49,  4 persons,54
50,  5 or more persons,55
51,Number of persons in private households,56
52,Average household size,57
53,Total - Marital status for the total population aged 15 years and over - 100% data,58
54,  Married or living common-law,59
55,    Married,60
56,    Living common-law,61
57,      Living common law - Never married,62
58,      Living common law - Separated,63
59,      Living common law - Divorced,64
60,      Living common law - Widowed,65
61,  Not married and not living common-law,66
62,    Not married and not living common law - Never married,67
63,    Not married and not living common law - Separated,68
64,    Not married and not living common law - Divorced,69
65,    Not married and not living common law - Widowed,70
66,Total - Census families in private households by family size - 100% data,71
67,Average size of census families,76
68,Average number of children in census families with children,77
69,Total number of census families in private households - 100% data,78
70,  Total couple families,79
71,    Married couples,80
72,      With children,81
73,      Without children,82
74,    Common-law couples,83
75,  Total one-parent families,86
76,    in which the parent is a woman+,87
77,    in which the parent is a man+,88
78,Total - Persons in private households - 100% data,89
79,  Total - Persons in census families,90
80,    Married spouses or common-law partners,91
81,    Parents in one-parent families,92
82,    Children,93
83,      In a two-parent family,94
84,      In a one-parent family,95
85,  Total - Persons not in census families in private households - 100% data,96
86,    Living alone,97
87,    Living with other relatives,98
88,    Living with non-relatives only,99
89,Total - Household type - 100% data,100
90,  One-census-family households without additional persons,101
91,    Couple-family households,102
92,    One-parent-family households,105
93,  Multigenerational households,106
94,  Multiple-census-family households,107
95,  One-census-family households with additional persons,108
96,  Two-or-more-person non-census-family households ,109
97,  One-person households,110
98,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,111
99,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,112
100,    Median total income in 2020 among recipients ($),113
101,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,114
102,    Median after-tax income in 2020 among recipients ($),115
103,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,116
104,    Median market income in 2020 among recipients ($),117
105,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,118
106,    Median employment income in 2020 among recipients ($),119
107,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,120
108,    Median government transfers in 2020 among recipients ($),121
109,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,122
110,    Median employment insurance benefits in 2020 among recipients ($),123
111,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,124
112,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),125
113,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,126
114,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,127
115,    Average total income in 2020 among recipients ($),128
116,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,129
117,    Average after-tax income in 2020 among recipients ($),130
118,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,131
119,    Average market income in 2020 among recipients ($),132
120,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,133
121,    Average employment income in 2020 among recipients ($),134
122,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,135
123,    Average government transfers in 2020 among recipients ($),136
124,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,137
125,    Average employment insurance benefits in 2020 among recipients ($),138
126,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,139
127,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),140
128,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,141
129,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,142
130,    Median employment income in 2020 for full-year full-time workers in 2020 ($),143
131,    Average employment income in 2020 for full-year full-time workers in 2020 ($),144
132,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,145
133,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),146
134,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),147
135,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,148
136,  Market income (%),149
137,    Employment income (%),150
138,  Government transfers (%),151
139,    Employment insurance benefits (%),152
140,    COVID-19 - Government income support and benefits (%),153
141,      COVID-19 - Emergency and recovery benefits (%),154
142,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,155
143,  Without total income,156
144,  With total income,157
145,"    Under $10,000 (including loss)",158
146,"    $10,000 to $19,999",159
147,"    $20,000 to $29,999",160
148,"    $30,000 to $39,999",161
149,"    $40,000 to $49,999",162
150,"    $50,000 to $59,999",163
151,"    $60,000 to $69,999",164
152,"    $70,000 to $79,999",165
153,"    $80,000 to $89,999",166
154,"    $90,000 to $99,999",167
155,"    $100,000 and over",168
156,"      $100,000 to $149,999",169
157,"      $150,000 and over",170
158,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,171
159,  Without after-tax income,172
160,  With after-tax income,173
161,"      $100,000 to $124,999",185
162,"      $125,000 and over",186
163,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,187
164,  Without employment income,188
165,  With employment income,189
166,"    Under $5,000 (including loss)",190
167,"    $5,000 to $9,999",191
168,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,204
169,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,205
170,    Median total income in 2019 among recipients ($),206
171,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,207
172,    Median after-tax income in 2019 among recipients ($),208
173,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,209
174,    Median market income in 2019 among recipients ($),210
175,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,211
176,    Median employment income in 2019 among recipients ($),212
177,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,213
178,    Median government transfers in 2019 among recipients ($),214
179,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,215
180,    Median employment insurance benefits in 2019 among recipients ($),216
181,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,217
182,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,218
